                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6786,                 1.5948,                0.99094,                0.99506,                0.99653,                0.99361,                0.89843,                0.46014,                0.78042,                0.81619,             0.00054574,             0.00054574,             0.00054574
                      2,                0.53451,                0.51424,                0.90456,                 0.9705,                0.98955,                0.99124,                0.89598,                0.45785,                0.73851,                0.82469,              0.0010651,              0.0010651,              0.0010651
                      3,                0.53295,                0.46488,                0.90201,                0.94856,                0.96769,                0.98845,                0.88747,                0.45511,                0.65676,                0.83609,              0.0015477,              0.0015477,              0.0015477
                      4,                0.51547,                0.41543,                 0.8935,                0.99122,                0.92298,                0.95148,                0.86286,                0.43054,                0.47849,                0.83148,               0.001502,               0.001502,               0.001502
                      5,                0.50514,                0.38801,                0.89187,                 0.9904,                0.99771,                0.99384,                0.91539,                0.41085,                0.30706,                0.81603,               0.001502,               0.001502,               0.001502
                      6,                0.48053,                0.35653,                0.88509,                0.99603,                0.99938,                0.99395,                0.91898,                0.38931,                0.27555,                0.81147,               0.001447,               0.001447,               0.001447
                      7,                0.47261,                0.33556,                0.88206,                 0.9964,                0.99874,                0.99415,                0.93361,                0.36072,                0.25539,                0.80591,              0.0013919,              0.0013919,              0.0013919
                      8,                0.45893,                0.32675,                0.87895,                0.99446,                      1,                0.99408,                 0.9408,                0.34771,                0.23514,                0.80217,              0.0013369,              0.0013369,              0.0013369
                      9,                0.45021,                0.30903,                0.87438,                0.99559,                0.99916,                0.99392,                0.94332,                0.34016,                0.22028,                0.80183,              0.0012819,              0.0012819,              0.0012819
                     10,                0.44629,                0.30305,                  0.874,                0.99558,                0.99916,                0.99382,                0.94189,                0.33913,                 0.2122,                0.80259,              0.0012269,              0.0012269,              0.0012269
                     11,                0.43803,                0.29363,                0.87094,                0.99592,                0.99947,                0.99423,                0.94562,                0.32891,                0.20667,                0.79823,              0.0011719,              0.0011719,              0.0011719
                     12,                0.43522,                0.28712,                0.86859,                0.99399,                0.99982,                0.99433,                0.94593,                0.33377,                 0.2082,                0.79783,              0.0011169,              0.0011169,              0.0011169
                     13,                0.43304,                0.28502,                0.86999,                0.99506,                0.99976,                0.99433,                0.94555,                0.33525,                0.19848,                0.80035,              0.0010619,              0.0010619,              0.0010619
                     14,                0.42449,                0.27787,                0.86653,                0.99553,                0.99993,                0.99404,                 0.9565,                 0.3204,                0.19353,                0.79743,              0.0010069,              0.0010069,              0.0010069
                     15,                0.41942,                0.27008,                0.86468,                0.94924,                0.96268,                0.99089,                0.94989,                0.32259,                0.30484,                0.79606,             0.00095186,             0.00095186,             0.00095186
                     16,                0.41759,                0.26974,                0.86285,                0.99648,                0.99976,                0.99384,                0.95987,                0.31242,                0.18713,                 0.7954,             0.00089685,             0.00089685,             0.00089685
                     17,                0.40741,                0.25967,                0.86131,                0.99702,                 0.9998,                0.99401,                0.96136,                 0.3194,                0.17397,                0.79589,             0.00084184,             0.00084184,             0.00084184
                     18,                0.41102,                0.25882,                0.85986,                0.99656,                0.99993,                0.99432,                0.95643,                0.31691,                0.18297,                0.79586,             0.00078682,             0.00078682,             0.00078682
                     19,                0.40548,                0.25402,                 0.8614,                0.99665,                0.99976,                0.99408,                0.95872,                0.31023,                 0.1788,                0.79463,             0.00073181,             0.00073181,             0.00073181
                     20,                0.39679,                0.25146,                0.85898,                0.99678,                0.99938,                0.99428,                0.95373,                0.31353,                0.17696,                0.79572,              0.0006768,              0.0006768,              0.0006768
                     21,                0.33937,                0.21783,                0.81728,                 0.9969,                      1,                0.99378,                0.95829,                0.31087,                0.19141,                0.79484,             0.00062179,             0.00062179,             0.00062179
                     22,                0.33401,                0.20984,                0.81405,                0.99641,                      1,                0.99405,                 0.9608,                0.31195,                0.18148,                0.79419,             0.00056678,             0.00056678,             0.00056678
                     23,                0.32962,                 0.2024,                0.81304,                0.99635,                0.99976,                0.99434,                0.96423,                0.30253,                 0.1761,                0.79439,             0.00051177,             0.00051177,             0.00051177
                     24,                0.32599,                0.19938,                0.80987,                0.99721,                0.99911,                0.99387,                0.96097,                0.30854,                0.17843,                0.79538,             0.00045676,             0.00045676,             0.00045676
                     25,                0.32098,                0.19288,                0.81204,                0.99712,                      1,                0.99383,                 0.9664,                0.30068,                0.16131,                0.79291,             0.00040175,             0.00040175,             0.00040175
                     26,                0.31566,                0.18877,                0.80785,                0.99638,                0.99963,                0.99413,                0.96472,                0.29889,                0.16204,                0.79247,             0.00034674,             0.00034674,             0.00034674
                     27,                0.31487,                0.18543,                0.80706,                 0.9971,                0.99958,                0.99401,                0.96716,                0.29735,                0.15353,                0.79204,             0.00029172,             0.00029172,             0.00029172
                     28,                 0.3113,                0.17988,                0.80554,                0.99728,                0.99934,                0.99383,                0.96744,                0.29577,                0.15095,                0.79216,             0.00023671,             0.00023671,             0.00023671
                     29,                0.30495,                0.17457,                0.80709,                0.99715,                0.99944,                0.99398,                0.96939,                0.29263,                0.14524,                0.79178,              0.0001817,              0.0001817,              0.0001817
                     30,                0.30053,                0.16841,                0.80531,                0.99721,                0.99937,                0.99405,                0.96885,                 0.2887,                0.14291,                0.79136,             0.00012669,             0.00012669,             0.00012669
